ACC,M1,M2,M3,M4,M5,Fmea,M1,M2,M3,M4,M5
1,0.016,0.064,0.736,0.016,0.016,,0.031402,0.022694,0.725634,0.031402,0.031402
2,0.022472,0.078652,0.707865,0.011236,0.022472,,0.043074,0.044097,0.669637,0.022151,0.043619
3,0.010239,0.023891,0.788396,0.017065,0.010239,,0.020245,0.009969,0.805549,0.028163,0.020245
4,0.011396,0.088319,0.660969,0.025641,0.005698,,0.0166,0.042593,0.616765,0.042949,0.011266
5,0.013423,0.056376,0.687248,0.006711,0.012081,,0.023949,0.024855,0.66299,0.010791,0.022862
6,0.038462,0.081197,0.858974,0.008547,0.038462,,0.073718,0.017311,0.817507,0.01693,0.073718
7,0,0.116279,0.604651,0.023256,0,,0,0.046167,0.473205,0.04485,0
8,0.017699,0.044248,0.858407,0.020649,0.017699,,0.030868,0.038741,0.896425,0.036622,0.031337
9,0.052632,0.15625,0.583882,0.064145,0.034539,,0.070397,0.121508,0.497138,0.101226,0.059158
10,0.020642,0.091743,0.745413,0.048165,0.018349,,0.037464,0.095784,0.728106,0.089343,0.035859
11,0.034197,0.094301,0.733679,0.051813,0.025907,,0.051088,0.093086,0.705165,0.093391,0.047105
12,0.125,0.015625,0.8125,0.046875,0.125,,0.220149,0.004261,0.826509,0.063576,0.220149
13,0,0.037037,0.814815,0,0,,0,0.00823,0.764928,0,0
14,0.018018,0.207207,0.387387,0.018018,0.009009,,0.025431,0.112579,0.249592,0.016617,0.015135
15,0,0.029046,0.821577,0,0,,0,0.005622,0.851865,0,0
16,0,0.056818,0.764205,0,0,,0,0.013094,0.775132,0,0
17,0.022059,0.051471,0.625,0.003676,0.003676,,0.01604,0.022995,0.525404,0.00132,0.003788
18,0.006536,0.055556,0.699346,0.003268,0,,0.008879,0.025139,0.626159,0.000523,0
19,0.003205,0.080128,0.695513,0.009615,0,,0.001213,0.035235,0.631119,0.005442,0
20,0.002725,0.029973,0.79564,0.002725,0.002725,,0.005433,0.008337,0.783694,0.005433,0.005433
21,0.002033,0.012195,0.855691,0.006098,0.002033,,0.004057,0.000953,0.902547,0.01212,0.004057
22,0.074074,0.037037,0.703704,0.037037,0,,0.074074,0.009259,0.642512,0.030864,0
23,0.022222,0.125926,0.703704,0.059259,0.022222,,0.043162,0.049006,0.650085,0.108822,0.043162
24,0.018349,0.119266,0.623853,0.082569,0.018349,,0.032276,0.051085,0.522296,0.13887,0.032951
25,0.092683,0.190244,0.087805,0.087805,0.029268,,0.129258,0.184309,0.030661,0.128883,0.052388
26,0.020513,0.128205,0.451282,0.015385,0.005128,,0.029279,0.075049,0.37794,0.029907,0.009345
27,0.040486,0.206478,0.380567,0.05668,0.004049,,0.047137,0.137153,0.298843,0.07354,0.005992
28,0.026471,0.135294,0.35,0.023529,0.005882,,0.027334,0.082434,0.264965,0.030226,0.010245
29,0.074074,0.222222,0.62963,0.074074,0.074074,,0.132554,0.142222,0.486532,0.119342,0.132554
30,0.030303,0.060606,0.515152,0.090909,0,,0.020202,0.050505,0.378479,0.121212,0
31,0.051757,0.058632,0.787017,0.054626,0.032375,,0.07545,0.025144,0.758052,0.099243,0.060906
32,0.021596,0.018293,0.859042,0.019944,0.00969,,0.026828,0.008431,0.830628,0.037418,0.018972
33,0.021316,0.016644,0.836772,0.030368,0.014697,,0.030157,0.008554,0.811429,0.057693,0.028816
34,0.072723,0.023973,0.835398,0.078229,0.056779,,0.118899,0.009886,0.828382,0.140633,0.106537
35,0.028417,0.012917,0.802959,0.024307,0.010216,,0.023964,0.009089,0.758206,0.046452,0.02011
36,0.004545,0.062121,0.869697,0.025758,0,,0.004158,0.013162,0.837277,0.049406,0
37,0.039773,0.051136,0.8125,0.034091,0.039773,,0.075976,0.018595,0.759013,0.065543,0.075976
38,0,0.066667,0.711111,0,0,,0,0.018689,0.682667,0,0
39,0,0.111111,0.8,0.022222,0,,0,0.05037,0.711111,0.043243,0
40,0,0.3,0.3,0.1,0,,0,0.208696,0.184615,0.16,0
41,0,0.050955,0.840764,0.006369,0,,0,0.011633,0.8204,0.012649,0
42,0.009009,0.144144,0.675676,0.009009,0.009009,,0.014709,0.067086,0.590078,0.017798,0.015334
43,0.015625,0.125,0.632812,0.019531,0.003906,,0.012876,0.06439,0.543108,0.037946,0.007767
44,0,0.046154,0.861538,0.046154,0,,0,0.01086,0.797457,0.082493,0
45,0,0.08,0.44,0,0,,0,0.041739,0.268889,0,0
46,0,0.119048,0.666667,0.02381,0,,0,0.070028,0.552381,0.046032,0
47,0.008159,0.047786,0.822844,0.166667,0.005828,,0.013933,0.008983,0.830559,0.279642,0.011581
48,0.074766,0.228972,0.345794,0.037383,0.051402,,0.11048,0.165883,0.211337,0.048836,0.091359
49,0.030568,0.10917,0.615721,0.0131,0.017467,,0.033861,0.049273,0.534288,0.014416,0.032803
50,0,0.153846,0.435897,0.076923,0,,0,0.212202,0.301166,0.137904,0
51,0,0.111111,0.277778,0.055556,0,,0,0.053704,0.144928,0.095238,0
52,0.031818,0.036364,0.797727,0.229545,0.029545,,0.04941,0.012508,0.779532,0.33641,0.045624
53,0.033113,0.050773,0.785872,0.280353,0.033113,,0.056407,0.015217,0.7693,0.410759,0.055836
54,0.05102,0.227891,0.263605,0.30102,0.034014,,0.063708,0.170808,0.144552,0.326152,0.052207
55,0.030864,0.117284,0.475309,0.04321,0.037037,,0.042611,0.070103,0.376807,0.059673,0.051029
56,0.034483,0.103448,0.551724,0.137931,0,,0.051724,0.053973,0.392337,0.210181,0
